heathcareAlertId,e_nric,date,location_id,description
1,S7599799Z,2021-17-05,201634,twentyseven new community COVID nineteen cases in Singapore 
2,G6674547W,2021-17-05,701810,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
3,T8210333Z,2021-17-05,260702,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
4,T0772496E,2021-17-05,276282,twentyseven new community COVID nineteen cases in Singapore 
5,S4462602J,2021-17-05,222470,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
6,T3233582E,2021-17-05,371330,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
7,S5853831J,2021-17-05,620676,twentyseven new community COVID nineteen cases in Singapore 
8,G4832122X,2021-17-05,490748,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
9,F5459701X,2021-17-05,271536,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
10,G6740750X,2021-17-05,757467,twentyseven new community COVID nineteen cases in Singapore 
11,F3671549U,2021-17-05,409165,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
12,F9648652U,2021-17-05,293841,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
13,S7549540D,2021-17-05,224626,twentyseven new community COVID nineteen cases in Singapore 
14,G1015829Q,2021-17-05,712757,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
15,T2178025H,2021-17-05,683601,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
16,F4263648R,2021-17-05,959395,twentyseven new community COVID nineteen cases in Singapore 
17,G1268714T,2021-17-05,658836,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
18,T0438097A,2021-17-05,325746,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
19,G2576539M,2021-17-05,499721,twentyseven new community COVID nineteen cases in Singapore 
20,F8447402U,2021-17-05,891208,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
21,G7230615K,2021-17-05,968423,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
22,G6201758P,2021-17-05,487209,twentyseven new community COVID nineteen cases in Singapore 
23,S5865222I,2021-17-05,101351,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
24,S3518820G,2021-17-05,777158,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
25,G2234785W,2021-17-05,318990,twentyseven new community COVID nineteen cases in Singapore 
26,F3790342Q,2021-17-05,702810,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
27,T6690250H,2021-17-05,611843,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
28,G2157864P,2021-17-05,822194,twentyseven new community COVID nineteen cases in Singapore 
29,S2919600A,2021-17-05,414292,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
30,G7058482X,2021-17-05,186907,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
31,T5948336B,2021-17-05,286567,twentyseven new community COVID nineteen cases in Singapore 
32,T0065390F,2021-17-05,448982,Malaysia ICUs at eighty percent capacity some hospitals full as Covid nineteen patients on the rise
33,S0588446B,2021-17-05,128830,"Speed at which Changi Airport Covid nineteen cluster grew is worrying, says expert"
34,S1775134D,2021-17-05,425370,twentyseven new community COVID nineteen cases in Singapore 
